sequence,title,arcana,suit,rank,canonical_filename,source_filename,source_format,width,height,canonical_format,sha256,qc_status,notes
39,FOUR OF CUPS,Minor,Cups,Four,39_FOUR_OF_CUPS.png,a_richly_detailed_ornate_tarot_card_style_illustra_1_batch_1.png,PNG,941,1672,PNG,e3304d4268bf7f0eb2cb29e0b323d2fbaa537daf2bb0e580761893e36545aeac,PASS — CANONICAL TONE POLISH,Canonical tone-polish replacement approved by P'Benz on 2026-08-20. Supersedes prior Four of Cups asset; use this version only.
40,FIVE OF CUPS,Minor,Cups,Five,40_FIVE_OF_CUPS.png,ornate_tarot_card_style_illustration_overall_scen_2_batch_2.png,PNG,941,1672,PNG,04b8c21584453032630609b944d5f41eab377e85d288117da8721205aeee3afe,PASS — CANONICAL TONE POLISH,Canonical tone-polish replacement approved by P'Benz on 2026-08-20. Supersedes prior Five of Cups asset; use this version only.
41,SIX OF CUPS,Minor,Cups,Six,41_SIX_OF_CUPS.png,file_00000000a4fc81fa9bcab20c95b29416.png,PNG,941,1672,PNG,72ca4809fefba8d01aed46417a5ed8ebc79bd838eb505f80673343cfd93f38a2,PASS,
42,SEVEN OF CUPS,Minor,Cups,Seven,42_SEVEN_OF_CUPS.png,file_000000005c5c820baa93c04677960f4c.png,PNG,941,1672,PNG,9ab2caa4f9d2644a0f8b56832d38e0e44d7f4a1e42d015c20f5394ef3952ef7d,PASS,
43,EIGHT OF CUPS,Minor,Cups,Eight,43_EIGHT_OF_CUPS.png,file_00000000f1fc81faaa270e15607dc1e7.png,PNG,941,1672,PNG,ad704cd7703c16d5ba310d39bc2ed94b08fe85d905e99e3a5b3f9cdce2057c75,PASS,Keep cool/dark; departure under moonlight is appropriate.
44,NINE OF CUPS,Minor,Cups,Nine,44_NINE_OF_CUPS.png,file_00000000623481faa4970672aa000534.png,PNG,941,1672,PNG,c9494da9a3c3e16b2c34d9ed411a05a9ebda7fcee0f301e8d93ba2566788a7a3,PASS,
45,TEN OF CUPS,Minor,Cups,Ten,45_TEN_OF_CUPS.png,Picsart_26-08-20_19-14-59-041.jpg,JPEG,941,1672,PNG,5ca52237c448ad10143b72671e36c5f8e877fc570a751211c2f4a4a95e14ed35,PASS — FORMAT NORMALIZED,"Source supplied as maximum-quality JPEG edited/exported by PicsArt; canonical copy converted to PNG. Pixel content is preserved from the supplied JPEG, but this is not a recovered original pre-JPEG PNG."
46,PAGE OF CUPS,Minor,Cups,Page,46_PAGE_OF_CUPS.png,file_00000000648481faa6046d5101843d73.png,PNG,941,1672,PNG,8439d1b36544cbf1491256886c79925760b6865829f673b338e900b116faabdc,PASS,
47,KNIGHT OF CUPS,Minor,Cups,Knight,47_KNIGHT_OF_CUPS.png,file_000000002d548211a37724633dfaed92.png,PNG,941,1672,PNG,86d4f3c59dfa994afdcca2d335e804b05caf788835fd9003c33b148a4b214735,PASS,
48,QUEEN OF CUPS,Minor,Cups,Queen,48_QUEEN_OF_CUPS.png,file_00000000604c81fa907944e87db5becf.png,PNG,941,1672,PNG,d2317d4d60d736e6cef8354b141f35c0b20119aabf4e98b0916fff055e45faf5,PASS,
49,KING OF CUPS,Minor,Cups,King,49_KING_OF_CUPS.png,file_000000002d84820bba7960b238951a95.png,PNG,941,1672,PNG,c20917e9d7a0bac609fd9a0c055ebf475286086728cc35b471eb5027a37511a2,PASS,
50,ACE OF SWORDS,Minor,Swords,Ace,50_ACE_OF_SWORDS.png,file_00000000245881fa9d69aed8745bad0b.png,PNG,941,1672,PNG,b801b393b033a8212c7dbc33ee1625ca450fe35c051e39f5f15cf57d3d2df563,PASS,
51,TWO OF SWORDS,Minor,Swords,Two,51_TWO_OF_SWORDS.png,file_00000000c758820b8e58aa4316ffa3ef.png,PNG,941,1672,PNG,e58238d85fc340344f736d781241ec3be26dd28bd99d44ca4fe91b9300fd4536,PASS,
52,THREE OF SWORDS,Minor,Swords,Three,52_THREE_OF_SWORDS.png,file_00000000649c81faac1678259eb7b898.png,PNG,941,1672,PNG,1f1e819b2a617a7d4a443c33766f32fa95a476d416ddd446c1de2a505e92eefe,PASS,
53,FOUR OF SWORDS,Minor,Swords,Four,53_FOUR_OF_SWORDS.png,file_000000006be8820bb888afc686acf7b6.png,PNG,941,1672,PNG,58156e6259cec4a9ded53f2118fc985be540866237d9c95997b6c3a4cea4685e,PASS,
54,FIVE OF SWORDS,Minor,Swords,Five,54_FIVE_OF_SWORDS.png,file_00000000fed881fabc97288c7c9830a3.png,PNG,941,1672,PNG,333532d9cd95606abf41a3a4c74c4a51754082471ef587d8fb62d6264ce312da,PASS,
55,SIX OF SWORDS,Minor,Swords,Six,55_SIX_OF_SWORDS.png,file_00000000b86082308288e9fbede0b834.png,PNG,941,1672,PNG,3449b57f664161eed64acc3343922c94dfe92c7f740d987d2dea56d306c1e83b,PASS,
56,SEVEN OF SWORDS,Minor,Swords,Seven,56_SEVEN_OF_SWORDS.png,file_00000000e0d8820789c4525fa10aab2e.png,PNG,941,1672,PNG,7d3432b14e344fbab3fc2e1a11d96b1c7cdf87e869d3b78b1914f665fbdfbd36,PASS,
57,EIGHT OF SWORDS,Minor,Swords,Eight,57_EIGHT_OF_SWORDS.png,file_0000000049f881fa8191937f7b5c7cdd.png,PNG,941,1672,PNG,cb615a28dbb71e74d3d3615216af191eb3898849475e4115ba9ea17564214c08,PASS,
58,NINE OF SWORDS,Minor,Swords,Nine,58_NINE_OF_SWORDS.png,file_00000000201881fd8a21e2ae77346d3f.png,PNG,941,1672,PNG,54b7a05f814ed955ac0a8d7767db474c0e2bc7303ea03249329ed44852702598,PASS,Keep dark; mood is archetypally appropriate.
59,TEN OF SWORDS,Minor,Swords,Ten,59_TEN_OF_SWORDS.png,file_0000000062d481fd9e325e1805654d00.png,PNG,941,1672,PNG,6559728b0e508a8430851a7e74c594669b160f8b67e7670cc33b4decd6b6d79d,PASS,Keep dark; dawn contrast already supports the ending/recovery subtext.
60,PAGE OF SWORDS,Minor,Swords,Page,60_PAGE_OF_SWORDS.png,file_000000008b3081fa9a6324773d86808b.png,PNG,941,1672,PNG,9e46633a1aef150b6fc6f142a53b013115198be4520c5e1946a5cd9e790cc14e,PASS,
61,KNIGHT OF SWORDS,Minor,Swords,Knight,61_KNIGHT_OF_SWORDS.png,file_0000000018f081fab03e8d761831d047.png,PNG,941,1672,PNG,e5ae853822cbda40cf4ccbf27276aa19039fc99dc418af10825729da4132bbce,PASS,
62,QUEEN OF SWORDS,Minor,Swords,Queen,62_QUEEN_OF_SWORDS.png,file_000000002d58820bbb4e075beee71249.png,PNG,941,1672,PNG,85fb6989d7622e0dcfe6edcd4a3362de015d5484c61e1174248577a652a6edbf,PASS,
63,KING OF SWORDS,Minor,Swords,King,63_KING_OF_SWORDS.png,file_000000003ed4820b868ac9f767d841b7.png,PNG,941,1672,PNG,9de07f4cacf1e8337c0dc0dd0bd76cd279ef0f82415e6c13c7d09ac33aa7f856,PASS,
64,ACE OF PENTACLES,Minor,Pentacles,Ace,64_ACE_OF_PENTACLES.png,file_000000002564820ba6a50c274f5ee862.png,PNG,941,1672,PNG,39ab679fe886cb65821ce94e3ed031b7f6a422e46e511fc2ecba9fe1c31712c6,PASS,
65,TWO OF PENTACLES,Minor,Pentacles,Two,65_TWO_OF_PENTACLES.png,file_00000000b64881fab05bd912aada369e.png,PNG,941,1672,PNG,58f2543ba9d3488c8183e710d193862ab931825451c088c8b2f96ada1f7f09c0,PASS,
66,THREE OF PENTACLES,Minor,Pentacles,Three,66_THREE_OF_PENTACLES.png,file_00000000bd7c81faa4e02df19d8788df.png,PNG,941,1672,PNG,63fd94db06f602ad358b1fc301058e892ef51e1fed882d4f45c06d3a60b7f60e,PASS,
67,FOUR OF PENTACLES,Minor,Pentacles,Four,67_FOUR_OF_PENTACLES.png,file_00000000a5d0820ba9cd270f4d2f6f8c.png,PNG,941,1672,PNG,7558a8df85dbe1c62915abc247ad3bf247be1e3789c2d159fa70326e056d5c61,PASS,
68,FIVE OF PENTACLES,Minor,Pentacles,Five,68_FIVE_OF_PENTACLES.png,file_00000000f0908230bce65607431fb164.png,PNG,941,1672,PNG,f2bc9114aa25baeb1be7500f3832f5489d218936616d7b0b70b8689f1438db90,PASS,
69,SIX OF PENTACLES,Minor,Pentacles,Six,69_SIX_OF_PENTACLES.png,file_00000000e6c8820b973f551592b30c9e.png,PNG,941,1672,PNG,5ad4882c6c8bb6b97ca044b5d5b3dde7f4ebbd601afc3225fc8782307a4e161c,PASS,
70,SEVEN OF PENTACLES,Minor,Pentacles,Seven,70_SEVEN_OF_PENTACLES.png,a_richly_detailed_ornate_tarot_style_illustration_3_batch_3.png,PNG,941,1672,PNG,aa628dbcccace551a773fc35afb28dfc01d7ccf98dd0ffdb438aa83b2d714c23,PASS — CANONICAL TONE POLISH,Canonical tone-polish replacement approved by P'Benz on 2026-08-20. Supersedes prior Seven of Pentacles asset; use this version only.
71,EIGHT OF PENTACLES,Minor,Pentacles,Eight,71_EIGHT_OF_PENTACLES.png,a_highly_detailed_tarot_card_style_illustration_in_4_batch_4.png,PNG,941,1672,PNG,1990e311fa51e70625f4649ce402b8e7bf991a05101b0ccc604afac2fc070679,PASS — CANONICAL TONE POLISH,Canonical tone-polish replacement approved by P'Benz on 2026-08-20. Supersedes prior Eight of Pentacles asset; use this version only.
72,NINE OF PENTACLES,Minor,Pentacles,Nine,72_NINE_OF_PENTACLES.png,a_richly_detailed_ornate_tarot_card_style_illustra_5_batch_5.png,PNG,941,1672,PNG,d0404b2883daa64a9af8222d6ae3265583fe3e532d54d2ec5394bb28941c3bb7,PASS — CANONICAL TONE POLISH,Canonical tone-polish replacement approved by P'Benz on 2026-08-20. Supersedes prior Nine of Pentacles asset; use this version only.
73,TEN OF PENTACLES,Minor,Pentacles,Ten,73_TEN_OF_PENTACLES.png,file_000000000fe0820b89d1abc21b075346.png,PNG,941,1672,PNG,7ae5b09c23065df0d917f07db0bb7312c56b9bcdca6331c6b9c796409bcd6e90,PASS,
74,PAGE OF PENTACLES,Minor,Pentacles,Page,74_PAGE_OF_PENTACLES.png,file_00000000c8ac820b86d68ba5af8a69b1.png,PNG,941,1672,PNG,60799d8f2e1f68b15b0e9f199c617d25b8b4e977ec0776301956aaffd17afcd0,PASS,
75,KNIGHT OF PENTACLES,Minor,Pentacles,Knight,75_KNIGHT_OF_PENTACLES.png,file_000000005f20820b8149aa92bcb2522a.png,PNG,941,1672,PNG,c247173b47d9126b77b6b71227e6e4f628d83d14c60269f7fc5f8f4715e73ef7,PASS,
76,QUEEN OF PENTACLES,Minor,Pentacles,Queen,76_QUEEN_OF_PENTACLES.png,file_0000000041c881fa811e30c9da821ff4.png,PNG,941,1672,PNG,26e8dfb6446ba30aa49c4e5b0a3664b1fbe10c3249946019b5e757fe495408a4,PASS,
77,KING OF PENTACLES,Minor,Pentacles,King,77_KING_OF_PENTACLES.png,file_00000000837481faa8f8b27172140b56.png,PNG,941,1672,PNG,6d6b4859404609513a2e158447086806722b607ca8dd9196edb8ccce07f7aa74,PASS,
